===k = 4.237===
  N  , vB,v,vA,col,|p
070-1, 38.351,-61.382,-0.263,A,|vA(-0.262677) * 4.237000m + vB(38.351473) * 4.237000m + v(-61.382227) * m = 100.000000m
070-2, 0.263,99.997,-0.263,B,|vA(-0.262677) * 4.237000m + vB(0.263369) * 4.237000m + v(99.997069) * m = 100.000000m
071-1, 0.263,-62.233,38.026,A,|vA(38.026323) * 4.237000m + vB(0.263369) * 4.237000m + v(-62.233423) * m = 100.000000m
071-2, -23.604,38.893,38.026,B,|vA(38.026323) * 4.237000m + vB(-23.604033) * 4.237000m + v(38.892759) * m = 100.000000m
072-1, -23.604,37.491,38.357,A,|vA(38.357213) * 4.237000m + vB(-23.604033) * 4.237000m + v(37.490777) * m = 100.000000m
072-2, -0.272,-61.367,38.357,B,|vA(38.357213) * 4.237000m + vB(-0.272045) * 4.237000m + v(-61.366855) * m = 100.000000m
073-1, -0.272,99.997,0.273,A,|vA(0.272788) * 4.237000m + vB(-0.272045) * 4.237000m + v(99.996856) * m = 100.000000m
073-2, 38.020,-62.248,0.273,B,|vA(0.272788) * 4.237000m + vB(38.020451) * 4.237000m + v(-62.248450) * m = 100.000000m
074-1, 38.020,38.917,-23.604,A,|vA(-23.603950) * 4.237000m + vB(38.020451) * 4.237000m + v(38.917288) * m = 100.000000m
074-2, 38.363,37.466,-23.604,B,|vA(-23.603950) * 4.237000m + vB(38.362951) * 4.237000m + v(37.466114) * m = 100.000000m
075-1, 38.363,-61.351,-0.281,A,|vA(-0.281413) * 4.237000m + vB(38.362951) * 4.237000m + v(-61.351477) * m = 100.000000m
075-2, 0.282,99.997,-0.281,B,|vA(-0.281413) * 4.237000m + vB(0.282207) * 4.237000m + v(99.996635) * m = 100.000000m
076-1, 0.282,-62.263,38.015,A,|vA(38.014576) * 4.237000m + vB(0.282207) * 4.237000m + v(-62.263471) * m = 100.000000m
076-2, -23.604,38.942,38.015,B,|vA(38.014576) * 4.237000m + vB(-23.603865) * 4.237000m + v(38.941814) * m = 100.000000m
077-1, -23.604,37.441,38.369,A,|vA(38.368687) * 4.237000m + vB(-23.603865) * 4.237000m + v(37.441449) * m = 100.000000m
077-2, -0.291,-61.336,38.369,B,|vA(38.368687) * 4.237000m + vB(-0.290779) * 4.237000m + v(-61.336093) * m = 100.000000m
078-1, -0.291,99.996,0.292,A,|vA(0.291627) * 4.237000m + vB(-0.290779) * 4.237000m + v(99.996407) * m = 100.000000m
078-2, 38.009,-62.278,0.292,B,|vA(0.291627) * 4.237000m + vB(38.008700) * 4.237000m + v(-62.278486) * m = 100.000000m
079-1, 38.009,38.966,-23.604,A,|vA(-23.603776) * 4.237000m + vB(38.008700) * 4.237000m + v(38.966338) * m = 100.000000m
079-2, 38.374,37.417,-23.604,B,|vA(-23.603776) * 4.237000m + vB(38.374420) * 4.237000m + v(37.416782) * m = 100.000000m
080-1, 38.374,-61.321,-0.300,A,|vA(-0.300145) * 4.237000m + vB(38.374420) * 4.237000m + v(-61.320703) * m = 100.000000m
080-2, 0.301,99.996,-0.300,B,|vA(-0.300145) * 4.237000m + vB(0.301049) * 4.237000m + v(99.996171) * m = 100.000000m
081-1, 0.301,-62.293,38.003,A,|vA(38.002821) * 4.237000m + vB(0.301049) * 4.237000m + v(-62.293495) * m = 100.000000m
081-2, -23.604,38.991,38.003,B,|vA(38.002821) * 4.237000m + vB(-23.603685) * 4.237000m + v(38.990859) * m = 100.000000m
082-1, -23.604,37.392,38.380,A,|vA(38.380151) * 4.237000m + vB(-23.603685) * 4.237000m + v(37.392113) * m = 100.000000m
082-2, -0.310,-61.305,38.380,B,|vA(38.380151) * 4.237000m + vB(-0.309510) * 4.237000m + v(-61.305307) * m = 100.000000m
083-1, -0.310,99.996,0.310,A,|vA(0.310471) * 4.237000m + vB(-0.309510) * 4.237000m + v(99.995928) * m = 100.000000m
083-2, 37.997,-62.308,0.310,B,|vA(0.310471) * 4.237000m + vB(37.996940) * 4.237000m + v(-62.308498) * m = 100.000000m
084-1, 37.997,39.015,-23.604,A,|vA(-23.603590) * 4.237000m + vB(37.996940) * 4.237000m + v(39.015378) * m = 100.000000m
084-2, 38.386,37.367,-23.604,B,|vA(-23.603590) * 4.237000m + vB(38.385880) * 4.237000m + v(37.367441) * m = 100.000000m
085-1, 38.386,-61.290,-0.319,A,|vA(-0.318873) * 4.237000m + vB(38.385880) * 4.237000m + v(-61.289905) * m = 100.000000m
085-2, 0.320,99.996,-0.319,B,|vA(-0.318873) * 4.237000m + vB(0.319893) * 4.237000m + v(99.995678) * m = 100.000000m
086-1, 0.320,-62.323,37.991,A,|vA(37.991056) * 4.237000m + vB(0.319893) * 4.237000m + v(-62.323495) * m = 100.000000m
086-2, -23.603,39.040,37.991,B,|vA(37.991056) * 4.237000m + vB(-23.603493) * 4.237000m + v(39.039895) * m = 100.000000m
087-1, -23.603,37.343,38.392,A,|vA(38.391606) * 4.237000m + vB(-23.603493) * 4.237000m + v(37.342767) * m = 100.000000m
087-2, -0.328,-61.274,38.392,B,|vA(38.391606) * 4.237000m + vB(-0.328236) * 4.237000m + v(-61.274497) * m = 100.000000m
088-1, -0.328,99.995,0.329,A,|vA(0.329317) * 4.237000m + vB(-0.328236) * 4.237000m + v(99.995420) * m = 100.000000m
088-2, 37.985,-62.338,0.329,B,|vA(0.329317) * 4.237000m + vB(37.985171) * 4.237000m + v(-62.338485) * m = 100.000000m
089-1, 37.985,39.064,-23.603,A,|vA(-23.603393) * 4.237000m + vB(37.985171) * 4.237000m + v(39.064409) * m = 100.000000m
089-2, 38.397,37.318,-23.603,B,|vA(-23.603393) * 4.237000m + vB(38.397330) * 4.237000m + v(37.318091) * m = 100.000000m
090-1, 38.397,-61.259,-0.338,A,|vA(-0.337598) * 4.237000m + vB(38.397330) * 4.237000m + v(-61.259083) * m = 100.000000m
090-2, 0.339,99.995,-0.338,B,|vA(-0.337598) * 4.237000m + vB(0.338742) * 4.237000m + v(99.995154) * m = 100.000000m
091-1, 0.339,-62.353,37.979,A,|vA(37.979283) * 4.237000m + vB(0.338742) * 4.237000m + v(-62.353470) * m = 100.000000m
091-2, -23.603,39.089,37.979,B,|vA(37.979283) * 4.237000m + vB(-23.603291) * 4.237000m + v(39.088921) * m = 100.000000m
092-1, -23.603,37.293,38.403,A,|vA(38.403051) * 4.237000m + vB(-23.603291) * 4.237000m + v(37.293413) * m = 100.000000m
092-2, -0.347,-61.244,38.403,B,|vA(38.403051) * 4.237000m + vB(-0.346959) * 4.237000m + v(-61.243663) * m = 100.000000m
093-1, -0.347,99.995,0.348,A,|vA(0.348167) * 4.237000m + vB(-0.346959) * 4.237000m + v(99.994882) * m = 100.000000m
