===k = 2.000===
001-1, 0.000,-3442.623,6557.377,A,|vA(6557.377049) * 2.050000m + vB(0.000000) * 2.050000m + v(-3442.622951) * m = 10000.000000m
001-2, -2257.458,1185.165,6557.377,B,|vA(6557.377049) * 2.050000m + vB(-2257.457673) * 2.050000m + v(1185.165278) * m = 10000.000000m
===2===
===k = 2.051===
  N  , vB,v,vA,col,|p
000  , 0.000,10000.000,0.000,-,|vA(0.000000) * 2.051000m + vB(0.000000) * 2.051000m + v(10000.000000) * m = 10000.000000m
001-1, 0.000,-3444.772,6555.228,A,|vA(6555.227794) * 2.051000m + vB(0.000000) * 2.051000m + v(-3444.772206) * m = 10000.000000m
001-2, -2258.127,1186.646,6555.228,B,|vA(6555.227794) * 2.051000m + vB(-2258.126651) * 2.051000m + v(1186.645555) * m = 10000.000000m
===2===
===k = 2.052===
  N  , vB,v,vA,col,|p
000  , 0.000,10000.000,0.000,-,|vA(0.000000) * 2.052000m + vB(0.000000) * 2.052000m + v(10000.000000) * m = 10000.000000m
001-1, 0.000,-3446.920,6553.080,A,|vA(6553.079948) * 2.052000m + vB(0.000000) * 2.052000m + v(-3446.920052) * m = 10000.000000m
001-2, -2258.794,1188.126,6553.080,B,|vA(6553.079948) * 2.052000m + vB(-2258.794268) * 2.052000m + v(1188.125785) * m = 10000.000000m
===2===
===k = 2.053===
  N  , vB,v,vA,col,|p
000  , 0.000,10000.000,0.000,-,|vA(0.000000) * 2.053000m + vB(0.000000) * 2.053000m + v(10000.000000) * m = 10000.000000m
001-1, 0.000,-3449.066,6550.934,A,|vA(6550.933508) * 2.053000m + vB(0.000000) * 2.053000m + v(-3449.066492) * m = 10000.000000m
001-2, -2259.461,1189.606,6550.934,B,|vA(6550.933508) * 2.053000m + vB(-2259.460525) * 2.053000m + v(1189.605967) * m = 10000.000000m
===2===
===k = 2.054===
  N  , vB,v,vA,col,|p
000  , 0.000,10000.000,0.000,-,|vA(0.000000) * 2.054000m + vB(0.000000) * 2.054000m + v(10000.000000) * m = 10000.000000m
001-1, 0.000,-3451.212,6548.788,A,|vA(6548.788474) * 2.054000m + vB(0.000000) * 2.054000m + v(-3451.211526) * m = 10000.000000m
